No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
273,자두와인,과실주, 국내산 자두,12%, 750ml,2014 대한민국우리술품평회 장려상,신선한맛,자두향,높은당도,높은산도,,,육류/해산물류,,
274,자연담은 복분자막걸리,탁주, 복분자(고창),6%,360ml,"2012 대한민국우리술품평회 우수상 (살균막걸리 부문)

 2014 대한민국우리술품평회 우수상 (살균막걸리 부문)",복분자맛,과일향,낮은당도,낮은산도,부드러움/묵직함/깔끔함,,아직 짝이 없어요!,,
275,자연담은 오미자막걸리,탁주,쌀85%/ 오미자15%,7%,360ml,2011 대한민국우리술품평회 최우수상 (살균막걸리 부문)),오미자맛,오미자향,적당한당도,높은산도,깔끔함/청량감,붉은색,"청포묵탕평채, 계절과일과 잘 어울린다.",,
276,자희향 국화주,"약주,청주",국내산 쌀,15%,375ml,2014 대한민국우리술품평회 장려상 (약주/청주 부문),쓴맛/짠맛/매운맛,황국화향,낮은당도,낮은산도,묵직함/낮은 청량감,,"해산물요리, 과일샐러드와 잘 어울린다.",,
277,장생도라지 진주 프리미엄,"약주,청주","쌀,장생도라지",16%,500ml,없음,도라지맛,도라지향/누룩향,,,부드러움,,한식과 잘 어울린다.,,
278,장수막걸리,탁주,쌀,6%,750ml,2020 대한민국 주류대상서 대상 수상,가벼운맛/시원한맛,쌀향,적당한당도,적당한산도,청량감/부드러움/가벼움,적은숙취,"열무김치,두부김치,멍게",,
279,장수홍삼주,리큐르 및 기타주류,국내산 인삼,25%,750ml,"2009 대한민국우리술품평회 은상 (리큐르 부문)

 2011 대한민국우리술품평회 우수상 (리큐르 부문)",홍삼맛,홍삼향,,,부드러움,,"갈비찜,양곱창전골과 잘 어울린다.",,
280,전주이강주(19%),리큐르 및 기타주류,국내산 쌀,19%,375ml,"전통식품명인 제9호 조정형

 시도무형문화재 전라북도 제6-2호

 2010 대한민국우리술품평회 대상 (19%

 리큐르 부문)",매운맛/ 상큼한맛,,적당한당도,,,노란색,"보쌈, 버섯두부전골과 잘 어울린다.",,
281,전주이강주(25%),리큐르 및 기타주류,국내산 쌀,25%,500ml,"전통식품명인 제9호 조정형

 시도무형문화재 전라북도 제6-2호

 2011 대한민국우리술품평회 대상 (25%

 리큐르 부문)",매운맛/ 상큼한맛,,적당한당도,,,노란색,"보쌈, 버섯두부전골과 잘 어울린다.",,
282,제주감귤주 귤로만,리큐르 및 기타주류,감귤원액(제주),7%,750ml,"2011 대한민국우리술품평회 대상 (기타주류)

 2012 대한민국우리술품평회 장려상 (기타주류)",쌉싸름한맛/ 상큼한맛,,적당한당도,적당한산도,,,삼겹살구이와 잘 어울린다.,,
283,제주술익는집 고소리술,증류주,"잡곡, 누룩, 정제수",40%,400ml,없음,순한맛/진한맛,구수한향/은은한향,,,부드러움/깔끔함,적은숙취,름기 많은 고등어 회,,제주도 서귀포시 표선면 중산간동로 4726
284,주몽복분자주,리큐르 및 기타주류,국내산 쌀/ 국내산 복분자,16%,375ml,"2010 대한민국우리술품평회 최우수상 (기타주류 부문)

 2011 대한민국우리술품평회 우수상 (기타주류 부문)

 2014 대한민국우리술품평회 우수상 (기타주류 부문)",,복분자향/ 누룩향,적당한당도,,부드러움,숙취가없다,육류소금구이와 잘 어울린다.,,
285,주시락 복분자 막걸리,탁주,쌀/ 복분자,6%,750ml,2014 대한민국우리술품평회 장려상 (살균막걸리 부문),상큼한맛,,높은당도,낮은산도,청량감,,장어구이와 매우 잘 어울린다.,,"경기 가평군 하면 대보간선로 26, 29"
286,죽력고,증류주,"국내산쌀, 죽력, 누룩, 정제수",32%,700ml,시도무형문화재 전라북도 제6-3호,알싸한맛/상쾌한맛,대나무향/한약향/알코올향,낮은당도,,청량감,투명한황색/ 연록색,육회 또는 단맛이 살짝 도는 떡갈비와 같은 안주도 잘 어울린다.,,전북 정읍시 태인면 태흥리 392-1
287,줄포 생막걸리,탁주,쌀,6%,750ml,2014 대한민국우리술품평회 최우수상 (생막걸리 부문),감칠맛/쓴맛,과일향,낮은당도,낮은산도,청량감/부드러움,,"주꾸미볶음, 홍어무침과 잘 어울린다.",,
288,지리산 정담 생쌀 막걸리,탁주,쌀/ 종국/ 정제수/ 누룩/ 효모,6%,750ml,없음,순한맛/산뜻한맛/고소한맛,고소한향,낮은당도,낮은산도,부드러움,흰색,신선한 과일 샐러드와 잘 어울린다.,, 전라북도 남원시 운봉읍 황산로 1018
289,지리산 허브잎 술,탁주,쌀/ 종국/ 정제수/ 누룩/ 효모/ 허브,6%,750ml,없음,담백한맛,솔잎향/로즈메리향/라벤다향/깔끔한향/허브향/곡물향,낮은당도,낮은산도,청량감/부드러움/가벼움,노란색,닭갈비랑 잘 어울린다.,,전라북도 남원시 운봉읍 황산로 1018
290,지장수 호박막걸리,탁주,쌀/ 호박,6%,550ml,2014 대한민국우리술품평회 최우수상 (살균막걸리 부문),깔끔한맛/떫은맛,,낮은당도,낮은산도,부드러움/묵직함,노란색,두부김치와 잘 어울린다.,,
291,지평막걸리,탁주,쌀,5%,750ml,없음,깔끔한맛,쌀향,적당한당도,,청량감,아이보리색,아직 짝이 없어요!,,
