No,이름,종류,원재료,알콜도수,용량,수상내역,맛,향,당도,산도,목넘김,기타,어울리는 음식,키워드,주소
341,한비 무병장수술,리큐르 및 기타주류,국내산쌀/ 흑삼/ 인삼/ 오가피/ 오미자/ 구기자/  복분자/ 차전자/ 토사자/ 산수유,35%,"375ml, 750ml",없음,쓴맛,약재향,,,부드러움,짙은 호박색,추어탕과 잘 어울린다.,,충북 제천시 봉양읍 북부로 5길 16-10
342,한비 쌀소주,증류주,"국내산 쌀, 누룩, 정제수",40%,"375ml, 750ml",없음,산뜻한맛/고소한맛/ 깔끔한맛,,,낮은산도,부드러움,적은숙취,백숙과 잘 어울린다.,,충북 제천시 봉양읍 북부로 5길 16-10
343,한비 오가피술,증류주,"국내산 쌀, 누룩, 가시오가피 뿌리, 정제수",35%,"375ml, 750ml",없음,쓴맛,산뜻한향,,,부드러움,호박색/독하지않다,탕수육 등 기름진 중국음식과 잘 어울린다.,,충남 공주시 계룡면 여서울2길9
344,한비 유자술,리큐르 및 기타주류,쌀/ 유자,35%,750ml,없음,약재맛/ 그윽한맛,유자향,,,,가볍게 즐기기좋다,"보쌈, 버섯두부전골과 잘 어울린다.",,충북 제천시 봉양읍 북부로 5길 16-10
345,한비오가피술골드,리큐르 및 기타주류,국내산 쌀/ 국내산 오가피,35%,500ml,2013 대한민국우리술품평회 장려상 (리큐르 부문),순한맛,,,,부드러움,,"참치회, 새싹채소무침과 잘 어울린다.",,충청북도 제천시 봉양읍 북부로5길 16-10
346,한산소곡주(약주),"약주,청주",찹쌀/ 국내산 멥쌀,18%,700ml / 1800ml,"전통식품명인 제19호 우희열시도무형문화재 충청남도 제3호

 2001 농림부 한국전통식품 BEST 5선발대회 전통주 대상 수상

 2007 농식품 가공산업발전 유공자 대통령표창",감칠맛,달콤한향,,,부드러움,,미나리전과 잘 어울린다.,,
347,한산소곡주(증류주),리큐르 및 기타주류,국내산 쌀,43%,700ml,2014년 해외 주류품평회 몽드셀렉션 Spirit&Liqueurs 부문 금상,탄듯한맛/ 감칠맛,그을린향/ 감미로운향,,,,자극적이지 않다/ 맑고 투명,전골과 잘 어울린다.,,충남 서천군 한산면 충절로 1118
348,한스오차드 사과와인,과실주, 사과,11%, 750ml,없음,,사과향,적당한당도,적당한산도,,,치즈류/과일류,,경북 의성군 단촌면 일직점곡로 755
349,한주,증류주,"국내산 쌀,밀누룩, 정제수","35%, 45%",700ml,"2015 대한민국 우리술 품평회 최우수상  (증류식소주 부문)

 2014 대한민국우리술품평회 장려상 (증류식소주 부문)

 2010 대한민국우리술품평회 장려상 (증류식소주 부문)

 2013 대한민국우리술품평회 우수상 (증류식소주 부문)",감칠맛/ 깊은맛,,,,부드러움,맑은색,닭가슴살 구이와 잘 어울린다.,,경기도 안성시 서운면 신촌리 270-9
350,해남진양주,"약주,청주",국내산 찹쌀 (해남),16%,375ml,시도무형문화재 전라남도 제25호,,버섯향,적당한당도,낮은산도,부드러움,노란색,구절판과 잘 어울린다.,,
351,해창 생막걸리,탁주,햅쌀/ 찹쌀/ 물/ 누룩,"6%,9%,12%",900ml,없음,담백한맛/상큼한맛,,낮은당도,낮은산도,청량감,,해산물 등 담백한 음식,,전남 해남군 화산면 해창길 1
352,허니문,리큐르/기타주류,벌꿀(국내산),8%,375㎖,2018 우리술품평회 기타주류 부문 최우수상,깔끔한맛,벌꿀향,적당한당도,낮은산도,부드러움,황금빛,"한식, 파스타, 샐러드, 디저트(치즈, 과일, 케잌등)",,경기도양평
353,허니비,리큐르/기타주류,벌꿀(국내산),8%,500㎖,2018 우리술품평회 기타주류 부문 대상,산뜻한맛/깔끔한맛,달콤한향/벌꿀향,낮은당도,,부드러움,노란색,"한식, 파스타, 샐러드, 디저트(치즈, 과일, 케잌등)",,경기도양평
354,허니와인,리큐르 및 기타주류,국내산 벌꿀,8%,500ml,"2012 대한민국우리술품평회 대상 (기타주류 부문)

 2013 대한민국우리술품평회 대상 (기타주류 부문)

 2013 NYWSC 동상

 2014 대한민국우리술품평회 최우수상 (기타주류 부문)

 2014 Monde-selection 은상",,꿀향/ 달콤한향/꽃향/ 과일향,적당한당도,,부드러움/ 깔끔함,연한레몬색,"해물파스타, 베이컨 버섯말이와 잘 어울린다.",,
355,호담,리큐르 및 기타주류,산양산삼/ 정제수/ 주정,20%,300ml,없음,쓴맛,산양산삼향,,,,연한미색/ 편하게 마실수 있는 술,닭백숙과 잘 어울린다.,,경기도 광주시 퇴촌면 천진암로 684
356,호담 산양산삼 막걸리,탁주,쌀(경기미)/ 입국/ 산양산삼/ 정제수/ 아스파탐,6%,750ml,없음,진한맛/깔끔한맛,산양산삼향,,적당한산도,부드러움,흰색/적은숙취,김치전과 잘 어울린다.,,
357,호랑이배꼽,탁주,평택쌀/ 누룩/ 정제수/ 정백당,7%,"350mL, 750mL",없음,,구수한향/과일향,높은당도,낮은산도,가벼움/청량감,,호두바게트,,경기도 평택시 포승읍 충열길 37
358,호모루덴스,탁주,원재료:,12%,500ml,없음,깊은맛,청사과향,낮은당도,낮은산도,묵직함,,돼지 목살 숯불 구이와 잘 어울린다.,,강원도 홍천군 화촌면 야시대로 211-57
359,혼디주,과실주,제주산감귤/ 백설탕/ 구연산/ 무수아황산,12%, 330ml,없음,감칠맛,귤향,높은당도,높은산도,,,생선회/구이/해산물류/수육/보쌈,,제주특별자치도 서귀포시 남원읍 신례천로 46
360,홍천강 탁주,탁주,홍천쌀/ 정제수/ 국(밀 누룩),11%,500ml,없음,담백한맛,바닐라향,낮은당도,적당한산도,깔끔함,,아직 짝이 없어요!,,강원도 홍천군 내촌면 물걸리 508-2
361,화요,증류주,국내산 쌀,"41%, 25%, 17%",375ml / 500ml / 750ml,"2007 IWSC 우수상 (41%

 25%)

 2008 Monde-selection 금상 (41%

 25%)

 2010 대한민국우리술품평회 대상 (41%

 증류식소주 부문)

 2010 G20정상회의 시그니쳐 칵테일 베이스 선정 (41%)

 2012 대한민국우리술품평회 우수상(41%

 증류식소주 부문)",쌀맛/깨끗한맛,곡주향,,,부드러움,,"돼지머리편육,생선회,닭파산적과 잘 어울린다.",,경기도 여주시 가남읍 경충대로 848
362,화주,증류주,"국내산 쌀, 홍삼농축액, 정제수",25%,375ml,없음,알싸한맛/쓴맛,홍삼향/ 상뜻한향,낮은당도,,부드러움/ 깔끔함,옅은호박색,삼계탕과 잘 어울린다.,,충남 논산시 연무읍 마종로 361
363,황진이주,"약주,청주",국내산 오미자/ 국내산 산수유,13%,375ml,"2012 대한민국우리술품평회 최우수상 (약주/청주 부문)

 2013 대한민국우리술품평회 대상 (약주/청주 부문)

 2014 Monde-selection 금상

 2014 대한민국우리술품평회 최우수상 (약주/청주 부문)",오미자맛/ 산수유맛/ 곡물맛,상큼한향,낮은당도,낮은산도,청량감,붉은빛,"완자전, 생선전과 잘 어울린다.",,
